       VX(Bohr/aut)            VY(Bohr/aut)            VZ(Bohr/aut)
 -3.343266452159334E-005  3.984496456683790E-005 -2.580548219404292E-005
 -4.856842265139491E-005  2.335812150209763E-005 -3.561085335171672E-005
 -4.856842265139491E-005  2.335812150209763E-005 -3.561085335171672E-005
 -4.856842265139491E-005  2.335812150209763E-005 -3.561085335171672E-005
 -4.856842265139491E-005  2.335812150209763E-005 -3.561085335171672E-005
 -4.856842265139491E-005  2.335812150209763E-005 -3.561085335171672E-005
 -4.856842265139491E-005  2.335812150209763E-005 -3.561085335171672E-005
 -4.856842265139491E-005  2.335812150209763E-005 -3.561085335171672E-005
 -4.856842265139491E-005  2.335812150209763E-005 -3.561085335171672E-005
 -4.856842265139491E-005  2.335812150209763E-005 -3.561085335171672E-005
 -4.856842265139491E-005  2.335812150209763E-005 -3.561085335171672E-005
 -4.856842265139491E-005  2.335812150209763E-005 -3.561085335171672E-005
 -4.856842265139491E-005  2.335812150209763E-005 -3.561085335171672E-005
 -4.856842265139491E-005  2.335812150209763E-005 -3.561085335171672E-005
 -4.856842265139491E-005  2.335812150209763E-005 -3.561085335171672E-005
 -4.856842265139491E-005  2.335812150209763E-005 -3.561085335171672E-005
 -4.856842265139491E-005  2.335812150209763E-005 -3.561085335171672E-005
 -4.856842265139491E-005  2.335812150209763E-005 -3.561085335171672E-005
 -4.856842265139491E-005  2.335812150209763E-005 -3.561085335171672E-005
 -4.856842265139491E-005  2.335812150209763E-005 -3.561085335171672E-005
 -1.207904296182813E-003 -1.239465216603572E-003 -7.866613417972905E-004
 -1.207904296182813E-003 -1.239465216603572E-003 -7.866613417972905E-004
 -1.207904296182813E-003 -1.239465216603572E-003 -7.866613417972905E-004
 -1.207904296182813E-003 -1.239465216603572E-003 -7.866613417972905E-004
 -1.207904296182813E-003 -1.239465216603572E-003 -7.866613417972905E-004
 -1.207904296182813E-003 -1.239465216603572E-003 -7.866613417972905E-004
 -1.207904296182813E-003 -1.239465216603572E-003 -7.866613417972905E-004
 -1.207904296182813E-003 -1.239465216603572E-003 -7.866613417972905E-004
 -1.207904296182813E-003 -1.239465216603572E-003 -7.866613417972905E-004
 -1.207904296182813E-003 -1.239465216603572E-003 -7.866613417972905E-004
 -1.207904296182813E-003 -1.239465216603572E-003 -7.866613417972905E-004
  8.285606979258039E-005  1.002745231211076E-004 -2.017636559743677E-006
  8.285606979258039E-005  1.002745231211076E-004 -2.017636559743677E-006
  1.263751301579110E-005  2.378794637461091E-005 -4.750719879032331E-005
 -1.146698360515627E-003 -1.239035391731059E-003 -7.985576872358971E-004
 -1.146698360515627E-003 -1.239035391731059E-003 -7.985576872358971E-004
  1.045423733452735E-004  8.964675606839180E-006  5.668009699615557E-005
  1.045423733452735E-004  8.964675606839180E-006  5.668009699615557E-005
  3.432381656848421E-005 -6.752190113965748E-005  1.119053476557593E-005
 -1.125012056962934E-003 -1.330345239245327E-003 -7.398599536799978E-004
 -1.125012056962934E-003 -1.330345239245327E-003 -7.398599536799978E-004
  9.775368148074478E-005 -1.241178442001802E-005  1.263279334080139E-005
  9.775368148074478E-005 -1.241178442001802E-005  1.263279334080139E-005
  2.753512470395550E-005 -8.889836116651468E-005 -3.285676888977824E-005
 -1.131800748827462E-003 -1.351721699272184E-003 -7.839072573353519E-004
 -1.131800748827462E-003 -1.351721699272184E-003 -7.839072573353519E-004
  4.029676584704210E-005  6.001551137203606E-005  5.379332558163405E-005
  4.029676584704210E-005  6.001551137203606E-005  5.379332558163405E-005
 -2.992179092974718E-005 -1.647106537446060E-005  8.303763351054411E-006
 -1.189257664461165E-003 -1.279294403480130E-003 -7.427467250945193E-004
 -1.189257664461165E-003 -1.279294403480130E-003 -7.427467250945193E-004
  3.778111218336417E-006  2.837407682848276E-005  4.476382685737872E-005
  3.778111218336417E-006  2.837407682848276E-005  4.476382685737872E-005
 -6.644044555845287E-005 -4.811249991801390E-005 -7.257353732009172E-007
 -1.225776319089871E-003 -1.310935838023684E-003 -7.517762238187746E-004
 -1.225776319089871E-003 -1.310935838023684E-003 -7.517762238187746E-004
  9.893746855825114E-005 -5.457919678715646E-006  5.257676381616650E-005
  9.893746855825114E-005 -5.457919678715646E-006  5.257676381616650E-005
  2.871891178146185E-005 -8.194449642521230E-005  7.087201585586856E-006
 -1.130616961749956E-003 -1.344767834530882E-003 -7.439632868599869E-004
 -1.130616961749956E-003 -1.344767834530882E-003 -7.439632868599869E-004
  1.144944723165426E-004  1.061840736860953E-004  2.309470474903531E-005
  1.144944723165426E-004  1.061840736860953E-004  2.309470474903531E-005
  4.427591553975328E-005  2.969749693959869E-005 -2.239485748154432E-005
 -1.115059957991665E-003 -1.233125841166071E-003 -7.734453459271180E-004
 -1.115059957991665E-003 -1.233125841166071E-003 -7.734453459271180E-004
  5.653164255677788E-005 -3.918350673645410E-005  1.848964451765771E-005
  5.653164255677788E-005 -3.918350673645410E-005  1.848964451765771E-005
 -1.368691422001140E-005 -1.156700834829508E-004 -2.699991771292192E-005
 -1.173022787751429E-003 -1.378493421588621E-003 -7.780504061584957E-004
 -1.173022787751429E-003 -1.378493421588621E-003 -7.780504061584957E-004
  1.118143676855174E-005  7.662708042049779E-005  3.941996451896368E-005
  1.118143676855174E-005  7.662708042049779E-005  3.941996451896368E-005
 -5.903712000823754E-005  1.405036740011338E-007 -6.069597711615957E-006
 -1.218372993539655E-003 -1.262682834431669E-003 -7.571200861571897E-004
 -1.218372993539655E-003 -1.262682834431669E-003 -7.571200861571897E-004
  5.033679338645378E-005  9.631802631846012E-005  1.442240680899156E-005
  5.033679338645378E-005  9.631802631846012E-005  1.442240680899156E-005
 -1.988176339033551E-005  1.983144957196346E-005 -3.106715542158807E-005
 -1.179217636921753E-003 -1.242991888533706E-003 -7.821176438671618E-004
 -1.179217636921753E-003 -1.242991888533706E-003 -7.821176438671618E-004
  6.506446759562989E-005  1.115568124015687E-004  1.014091719138570E-004
  6.506446759562989E-005  1.115568124015687E-004  1.014091719138570E-004
 -5.154089181159393E-006  3.507023565507206E-005  5.591960968327732E-005
 -1.164489962712577E-003 -1.227753102450598E-003 -6.951308787622964E-004
 -1.164489962712577E-003 -1.227753102450598E-003 -6.951308787622964E-004
  9.977632731179570E-005  1.007508389606848E-004  3.392522311041885E-005
  9.977632731179570E-005  1.007508389606848E-004  3.392522311041885E-005
  2.955777053500641E-005  2.426426221418811E-005 -1.156433912016079E-005
 -1.129778102996411E-003 -1.238559075891482E-003 -7.626148275657345E-004
 -1.129778102996411E-003 -1.238559075891482E-003 -7.626148275657345E-004
 -2.123065197304443E-006  1.187873519768082E-005  2.733982094038080E-005
 -2.123065197304443E-006  1.187873519768082E-005  2.733982094038080E-005
 -7.234162197409372E-005 -6.460784154881584E-005 -1.814974129019884E-005
 -1.231677495505512E-003 -1.327431179654486E-003 -7.692002297357726E-004
 -1.231677495505512E-003 -1.327431179654486E-003 -7.692002297357726E-004
  3.429019065513832E-005  8.646020871828652E-005  1.421853958695973E-005
  3.429019065513832E-005  8.646020871828652E-005  1.421853958695973E-005
 -3.592836612165096E-005  9.973631971789860E-006 -3.127102264361990E-005
 -1.195264239653069E-003 -1.252849706133880E-003 -7.823215110891936E-004
 -1.195264239653069E-003 -1.252849706133880E-003 -7.823215110891936E-004
